 x y d S f a list1 list2 O C
0 18.415894664286757 -10.34670387828564 0 6 1 1 1 0 0 9000
1 83.3829701918111 -124.35131462765102 0 44 1 1 1 0 0 9000
2 -102.31275428951898 -102.83082022117992 0 25 1 1 1 0 0 9000
3 -13.320572395052992 -143.37525380169436 0 20 1 1 1 0 0 9000
4 89.31376504552617 -31.50962847594761 0 81 1 1 1 0 0 9000
5 -31.90094067897956 104.28572477376464 0 38 1 1 1 0 0 9000
6 -24.578360367044557 -71.06841058862555 0 32 1 1 1 0 0 9000
7 73.99350122742683 20.00817619900476 0 79 1 1 1 0 0 9000
8 75.5410755832275 -52.31875399354908 0 79 1 1 1 0 0 9000
9 -29.078211396368236 145.8227216811386 0 70 1 1 1 0 0 9000
10 -140.1775495942248 -53.57865600966315 0 29 1 1 1 0 0 9000
11 -56.25523435599584 124.57041139968746 0 86 1 1 1 0 0 9000
12 -112.43503771060404 74.6582119152057 0 32 1 1 1 0 0 9000
13 -30.04799905030797 54.88299486943465 0 14 1 1 1 0 0 9000
14 41.76644175011118 123.36143371484344 0 52 1 1 1 0 0 9000
15 140.30126727862083 -52.31872540802001 0 80 1 1 1 0 0 9000
16 -143.8772923235351 -42.14683434952632 0 81 1 1 1 0 0 9000
17 -135.67707531106083 51.21722901744021 0 69 1 1 1 0 0 9000
18 -83.77232971919544 28.96538523580439 0 56 1 1 1 0 0 9000
19 92.46911241252293 118.9510909337417 0 83 1 1 1 0 0 9000
20 49.71827587748649 44.22226623885269 0 75 1 1 1 0 0 9000
21 78.55472527649866 120.30105430327558 0 14 1 1 1 0 0 9000
22 144.37666288091577 13.032707686027134 0 45 1 1 1 0 0 9000
23 -6.4721390768423985 3.9806115817417305 0 22 1 1 1 0 0 9000
24 7.538072166482708 -1.4424885579956581 0 36 1 1 1 0 0 9000
25 12.342584280509113 -89.54770630920633 0 17 1 1 1 0 0 9000
26 -98.91355073905346 112.75929161150108 0 9 1 1 1 0 0 9000
27 144.5259393251937 39.4215837951866 0 67 1 1 1 0 0 9000
28 -53.09183397861336 34.05785003688422 0 5 1 1 1 0 0 9000
29 135.2970637285532 -63.479745478477895 0 60 1 1 1 0 0 9000
30 98.04127190383667 17.734678795596164 0 62 1 1 1 0 0 9000
31 -37.33859496850401 -86.33510079518052 0 35 1 1 1 0 0 9000
32 -100.1335166503624 74.45237956943937 0 96 1 1 1 0 0 9000
33 -142.5694979426913 -20.776204163565545 0 8 1 1 1 0 0 9000
34 62.97075509192919 48.08424007705682 0 38 1 1 1 0 0 9000
35 -43.25053620660422 -44.4533304964457 0 1 1 1 1 0 0 9000
36 -87.21081207963493 -94.58965068686564 0 45 1 1 1 0 0 9000
37 3.7976796542505196 -143.51684626311476 0 1 1 1 1 0 0 9000
38 118.38366068944435 -77.80389977202111 0 70 1 1 1 0 0 9000
39 -95.03694530917508 105.18979017534065 0 66 1 1 1 0 0 9000
40 -47.80340171911543 -109.67782239683218 0 39 1 1 1 0 0 9000
41 -37.21734047755098 80.88564718506754 0 17 1 1 1 0 0 9000
42 -88.38118868730673 -113.18037837133886 0 67 1 1 1 0 0 9000
43 -15.048728900944605 113.687901342369 0 11 1 1 1 0 0 9000
44 129.9970158694978 27.535450950584366 0 88 1 1 1 0 0 9000
